pad,x,y,scale,direction,cobo,asad,aget,channel,cy,cx
1824,-14.724706,53.133205,0.5,1,0,0,2,41,14.724706,-53.841647699623984
1825,-14.724706,57.383862,0.5,0,0,0,2,48,14.724706,-56.675419300376014
1826,-12.270588,53.133205,0.5,0,0,0,2,14,12.270588,-52.42476230037601
1827,-12.270588,57.383862,0.5,1,0,0,2,16,12.270588,-58.09230469962399
1828,-9.8164701,57.383862,0.5,0,0,0,3,41,9.8164701,-56.675419300376014
1829,-9.8164701,53.133205,0.5,1,0,0,3,1,9.8164701,-53.841647699623984
1830,-7.3623528,57.383862,0.5,1,0,0,3,35,7.3623528,-58.09230469962399
1831,-7.3623528,53.133205,0.5,0,0,0,1,4,7.3623528,-52.42476230037601
1832,-4.9082351,53.133205,0.5,1,0,0,2,47,4.9082351,-53.841647699623984
1833,-4.9082351,57.383862,0.5,0,0,0,2,40,4.9082351,-56.675419300376014
1834,-2.4541175,53.133205,0.5,0,0,0,3,0,2.4541175,-52.42476230037601
1835,-2.4541175,57.383862,0.5,1,0,0,2,51,2.4541175,-58.09230469962399
1836,0.0,57.383862,0.5,0,0,1,3,9,-0.0,-56.675419300376014
1837,0.0,53.133205,0.5,1,0,0,3,10,-0.0,-53.841647699623984
1838,2.4541175,57.383862,0.5,1,0,1,2,50,-2.4541175,-58.09230469962399
1839,2.4541175,53.133205,0.5,0,0,1,3,0,-2.4541175,-52.42476230037601
1840,4.9082351,53.133205,0.5,1,0,1,2,46,-4.9082351,-53.841647699623984
1841,4.9082351,57.383862,0.5,0,0,1,2,39,-4.9082351,-56.675419300376014
1842,7.3623528,53.133205,0.5,0,0,1,1,3,-7.3623528,-52.42476230037601
1843,7.3623528,57.383862,0.5,1,0,1,3,36,-7.3623528,-58.09230469962399
1844,9.8164701,57.383862,0.5,0,0,1,3,42,-9.8164701,-56.675419300376014
1845,9.8164701,53.133205,0.5,1,0,1,3,2,-9.8164701,-53.841647699623984
1846,12.270588,57.383862,0.5,1,0,1,2,17,-12.270588,-58.09230469962399
1847,12.270588,53.133205,0.5,0,0,1,2,15,-12.270588,-52.42476230037601
1848,14.724706,53.133205,0.5,1,0,1,2,42,-14.724706,-53.841647699623984
1849,14.724706,57.383862,0.5,0,0,1,2,49,-14.724706,-56.675419300376014
1850,17.178823,53.133205,0.5,0,0,1,0,18,-17.178823,-52.42476230037601
1851,17.178823,57.383862,0.5,1,0,1,1,54,-17.178823,-58.09230469962399
1852,19.63294,57.383862,0.5,0,0,1,0,39,-19.63294,-56.675419300376014
1853,19.63294,53.133205,0.5,1,0,1,0,37,-19.63294,-53.841647699623984
1854,22.087059,57.383862,0.5,1,2,2,3,52,-22.087059,-58.09230469962399
1855,22.087059,53.133205,0.5,0,2,2,3,27,-22.087059,-52.42476230037601
1856,24.541176,53.133205,0.5,1,2,2,3,23,-24.541176,-53.841647699623984
1857,24.541176,57.383862,0.5,0,2,2,3,50,-24.541176,-56.675419300376014
1858,26.995293,53.133205,0.5,0,2,2,3,7,-26.995293,-52.42476230037601
1859,26.995293,57.383862,0.5,1,2,2,3,37,-26.995293,-58.09230469962399
1860,29.449411,57.383862,0.5,0,2,2,3,33,-29.449411,-56.675419300376014
1861,29.449411,53.133205,0.5,1,2,2,2,51,-29.449411,-53.841647699623984
1862,31.903528,57.383862,0.5,1,2,2,3,29,-31.903528,-58.09230469962399
1863,31.903528,53.133205,0.5,0,2,2,2,30,-31.903528,-52.42476230037601
1864,34.357647,53.133205,0.5,1,2,2,3,6,-34.357647,-53.841647699623984
1865,34.357647,57.383862,0.5,0,2,2,2,19,-34.357647,-56.675419300376014
1866,36.811764,53.133205,0.5,0,2,3,3,14,-36.811764,-52.42476230037601
1867,36.811764,57.383862,0.5,1,2,2,3,18,-36.811764,-58.09230469962399
1868,39.265881,57.383862,0.5,0,2,3,3,43,-39.265881,-56.675419300376014
1869,39.265881,53.133205,0.5,1,2,3,2,67,-39.265881,-53.841647699623984
1870,41.719997,57.383862,0.5,1,2,3,3,12,-41.719997,-58.09230469962399
1871,41.719997,53.133205,0.5,0,2,3,3,28,-41.719997,-52.42476230037601
1872,44.174118,53.133205,0.5,1,2,3,2,46,-44.174118,-53.841647699623984
1873,44.174118,57.383862,0.5,0,2,3,2,25,-44.174118,-56.675419300376014
1874,46.628235,53.133205,0.5,0,2,3,2,0,-46.628235,-52.42476230037601
1875,46.628235,57.383862,0.5,1,2,3,2,39,-46.628235,-58.09230469962399
1876,49.082352,57.383862,0.5,0,2,3,3,62,-49.082352,-56.675419300376014
1877,49.082352,53.133205,0.5,1,2,3,2,30,-49.082352,-53.841647699623984
1878,51.536469,57.383862,0.5,1,2,3,2,28,-51.536469,-58.09230469962399
1879,51.536469,53.133205,0.5,0,2,3,1,59,-51.536469,-52.42476230037601
1880,53.990585,53.133205,0.5,1,2,3,0,3,-53.990585,-53.841647699623984
1881,53.990585,57.383862,0.5,0,2,3,1,61,-53.990585,-56.675419300376014
1882,56.444706,53.133205,0.5,0,2,3,1,25,-56.444706,-52.42476230037601
1883,56.444706,57.383862,0.5,1,2,3,1,67,-56.444706,-58.09230469962399
1884,58.898823,57.383862,0.5,0,2,3,1,27,-58.898823,-56.675419300376014
1885,58.898823,53.133205,0.5,1,2,3,0,29,-58.898823,-53.841647699623984
1886,61.35294,57.383862,0.5,1,2,3,0,27,-61.35294,-58.09230469962399
1887,61.35294,53.133205,0.5,0,2,3,1,51,-61.35294,-52.42476230037601
1888,63.807056,53.133205,0.5,1,2,3,0,10,-63.807056,-53.841647699623984
1889,63.807056,57.383862,0.5,0,2,3,1,58,-63.807056,-56.675419300376014
1890,66.261177,53.133205,0.5,0,2,3,0,4,-66.261177,-52.42476230037601
1891,66.261177,57.383862,0.5,1,2,3,1,47,-66.261177,-58.09230469962399
1892,68.715294,57.383862,0.5,0,2,3,1,40,-68.715294,-56.675419300376014
1893,68.715294,53.133205,0.5,1,2,3,0,0,-68.715294,-53.841647699623984
1894,71.169411,57.383862,0.5,1,2,3,1,21,-71.169411,-58.09230469962399
1895,71.169411,53.133205,0.5,0,2,3,1,28,-71.169411,-52.42476230037601
1896,73.623528,53.133205,0.5,1,0,2,0,57,-73.623528,-53.841647699623984
1897,73.623528,57.383862,0.5,0,5,3,3,7,-73.623528,-56.675419300376014
1898,76.077644,53.133205,0.5,0,0,2,0,52,-76.077644,-52.42476230037601
1899,76.077644,57.383862,0.5,1,5,3,3,52,-76.077644,-58.09230469962399
1900,78.531761,57.383862,0.5,0,0,2,0,31,-78.531761,-56.675419300376014
1901,78.531761,53.133205,0.5,1,0,2,0,48,-78.531761,-53.841647699623984
1902,80.985878,57.383862,0.5,1,0,2,0,35,-80.985878,-58.09230469962399
1903,80.985878,53.133205,0.5,0,0,2,0,41,-80.985878,-52.42476230037601
